epoch,iter,lossG,lossGfwd,lossGadv,lossD,lossDadv-org,lossDadv-gen,lossDadv-mix,SSIM,PSNR,LPIPS,HistW
139,70000,0.824535,0.432324,-0.392211,1.998846,0.606583,1.392557,1.391969,0.000000,0.000000,0.000000,0.000000
140,70500,0.826776,0.431401,-0.395375,1.998117,0.603368,1.394891,1.394606,0.997988,49.316230,0.017994,0.067978
141,71000,0.828695,0.430656,-0.398039,1.999096,0.600790,1.398265,1.398348,0.000000,0.000000,0.000000,0.000000
142,71500,0.853276,0.450104,-0.403172,1.999007,0.596248,1.402845,1.402673,0.000000,0.000000,0.000000,0.000000
143,72000,0.832808,0.424382,-0.408426,1.999238,0.590831,1.408425,1.408388,0.000000,0.000000,0.000000,0.000000
144,72500,0.859549,0.445920,-0.413629,1.998657,0.585203,1.413534,1.413374,0.000000,0.000000,0.000000,0.000000
145,73000,0.848273,0.430535,-0.417738,2.000016,0.581393,1.418907,1.418339,0.998033,49.925294,0.017356,0.068381
146,73500,0.856405,0.434436,-0.421969,1.999979,0.577340,1.422522,1.422757,0.000000,0.000000,0.000000,0.000000
147,74000,0.855408,0.428830,-0.426578,1.999324,0.573885,1.425336,1.425542,0.000000,0.000000,0.000000,0.000000
148,74500,0.871475,0.441210,-0.430266,1.999805,0.569064,1.430908,1.430574,0.000000,0.000000,0.000000,0.000000
149,75000,0.870060,0.434884,-0.435176,2.000541,0.564560,1.435753,1.436211,0.000000,0.000000,0.000000,0.000000
150,75500,0.861178,0.424342,-0.436836,1.999958,0.562850,1.437180,1.437034,0.998080,48.908942,0.016300,0.066828
151,76000,0.874603,0.433349,-0.441254,1.999637,0.558940,1.440877,1.440518,0.000000,0.000000,0.000000,0.000000
152,76500,0.884966,0.438685,-0.446281,1.999389,0.553926,1.445507,1.445419,0.000000,0.000000,0.000000,0.000000
153,77000,0.886173,0.433771,-0.452402,1.999824,0.547187,1.452672,1.452603,0.000000,0.000000,0.000000,0.000000
154,77500,0.885035,0.430941,-0.454094,2.000042,0.545805,1.454062,1.454413,0.000000,0.000000,0.000000,0.000000
155,78000,0.882639,0.425710,-0.456930,1.999480,0.542721,1.456676,1.456843,0.998045,50.450685,0.016666,0.068763
156,78500,0.881775,0.421880,-0.459895,1.998780,0.539615,1.459246,1.459086,0.000000,0.000000,0.000000,0.000000
157,79000,0.914894,0.449460,-0.465434,2.000589,0.534478,1.465846,1.466376,0.000000,0.000000,0.000000,0.000000
158,79500,0.894462,0.425513,-0.468949,2.000373,0.531337,1.469122,1.468950,0.000000,0.000000,0.000000,0.000000
159,80000,0.897546,0.424519,-0.473027,1.999713,0.526574,1.473133,1.473144,0.000000,0.000000,0.000000,0.000000
160,80500,0.896900,0.418107,-0.478793,1.999940,0.520888,1.478966,1.479139,0.998007,51.192330,0.016927,0.068410
161,81000,0.914298,0.431165,-0.483133,2.000551,0.516415,1.483865,1.484405,0.000000,0.000000,0.000000,0.000000
162,81500,0.923970,0.434466,-0.489504,1.999769,0.510196,1.489717,1.489429,0.000000,0.000000,0.000000,0.000000
163,82000,0.924184,0.427512,-0.496672,2.000951,0.503025,1.497895,1.497956,0.000000,0.000000,0.000000,0.000000
164,82500,0.928661,0.432345,-0.496316,2.000798,0.503590,1.497395,1.497022,0.000000,0.000000,0.000000,0.000000
165,83000,0.914267,0.414267,-0.500000,1.999655,0.499760,1.499909,1.499882,0.998080,50.502634,0.016320,0.068400
166,83500,0.929098,0.428028,-0.501070,1.999821,0.498537,1.501280,1.501288,0.000000,0.000000,0.000000,0.000000
167,84000,0.949993,0.448497,-0.501496,1.999613,0.498233,1.501381,1.501379,0.000000,0.000000,0.000000,0.000000
168,84500,0.921473,0.420996,-0.500477,1.999881,0.499308,1.500501,1.500644,0.000000,0.000000,0.000000,0.000000
169,85000,0.921854,0.419424,-0.502430,1.999352,0.497152,1.502124,1.502276,0.000000,0.000000,0.000000,0.000000
170,85500,0.925945,0.425020,-0.500926,1.999684,0.498720,1.500879,1.501050,0.998100,50.775081,0.016239,0.068459
171,86000,0.953792,0.450284,-0.503508,1.999616,0.496454,1.503069,1.503256,0.000000,0.000000,0.000000,0.000000
172,86500,0.926829,0.423134,-0.503695,1.999382,0.496180,1.503213,1.503192,0.000000,0.000000,0.000000,0.000000
173,87000,0.930922,0.428540,-0.502383,1.999448,0.497056,1.502167,1.502616,0.000000,0.000000,0.000000,0.000000
174,87500,0.925014,0.421459,-0.503555,1.999465,0.496092,1.503280,1.503468,0.000000,0.000000,0.000000,0.000000
175,88000,0.947148,0.443316,-0.503832,1.999027,0.496096,1.503296,1.502566,0.997908,48.723186,0.017217,0.066368
176,88500,0.927899,0.423133,-0.504766,2.000028,0.495126,1.504842,1.504962,0.000000,0.000000,0.000000,0.000000
177,89000,0.933295,0.428037,-0.505258,1.999273,0.494804,1.504765,1.504171,0.000000,0.000000,0.000000,0.000000
178,89500,0.940023,0.437082,-0.502941,1.999415,0.497455,1.501829,1.502090,0.000000,0.000000,0.000000,0.000000
179,90000,0.938244,0.434497,-0.503746,1.999007,0.496040,1.502765,1.503171,0.000000,0.000000,0.000000,0.000000
180,90500,0.933308,0.430234,-0.503074,1.999384,0.496720,1.502367,1.502961,0.998108,51.131869,0.016089,0.069313
181,91000,0.933301,0.428145,-0.505156,1.998197,0.494937,1.503160,1.503359,0.000000,0.000000,0.000000,0.000000
182,91500,0.931778,0.427340,-0.504437,1.998369,0.495289,1.502961,1.503199,0.000000,0.000000,0.000000,0.000000
183,92000,0.927446,0.423453,-0.503992,1.999137,0.495925,1.503208,1.503215,0.000000,0.000000,0.000000,0.000000
184,92500,0.931467,0.425182,-0.506285,1.999342,0.493494,1.505899,1.505796,0.000000,0.000000,0.000000,0.000000
185,93000,0.944528,0.439766,-0.504762,1.999428,0.495068,1.504361,1.504358,0.998122,50.279655,0.015836,0.067589
186,93500,0.918801,0.415875,-0.502926,1.999281,0.496696,1.502574,1.502597,0.000000,0.000000,0.000000,0.000000
187,94000,0.929546,0.425741,-0.503805,1.999001,0.495949,1.502985,1.503118,0.000000,0.000000,0.000000,0.000000
188,94500,0.918239,0.415911,-0.502328,1.999206,0.497607,1.501592,1.501607,0.000000,0.000000,0.000000,0.000000
189,95000,0.929366,0.425229,-0.504137,1.999002,0.495996,1.503132,1.502880,0.000000,0.000000,0.000000,0.000000
190,95500,0.940291,0.435409,-0.504883,1.999599,0.495128,1.504413,1.504528,0.998080,50.405393,0.016667,0.067577
191,96000,0.920579,0.415153,-0.505426,1.999922,0.494597,1.504898,1.505753,0.000000,0.000000,0.000000,0.000000
192,96500,0.944381,0.439620,-0.504762,1.999693,0.495194,1.504550,1.504449,0.000000,0.000000,0.000000,0.000000
193,97000,0.919669,0.413583,-0.506086,2.000456,0.494538,1.505805,1.506030,0.000000,0.000000,0.000000,0.000000
194,97500,0.914629,0.408097,-0.506531,2.000753,0.493567,1.507134,1.507237,0.000000,0.000000,0.000000,0.000000
195,98000,0.961887,0.456043,-0.505844,2.000453,0.494579,1.505857,1.505891,0.998067,50.345539,0.016462,0.067319
196,98500,0.923709,0.418198,-0.505512,1.999696,0.494518,1.505270,1.505087,0.000000,0.000000,0.000000,0.000000
197,99000,0.937212,0.429883,-0.507328,2.000665,0.492906,1.507669,1.507848,0.000000,0.000000,0.000000,0.000000
198,99500,0.933055,0.425961,-0.507094,2.001036,0.493100,1.508081,1.507792,0.000000,0.000000,0.000000,0.000000
199,100000,0.928224,0.421095,-0.507129,2.000672,0.492856,1.507961,1.507670,0.000000,0.000000,0.000000,0.000000
200,100500,0.925305,0.417071,-0.508234,2.000566,0.491731,1.508800,1.508869,0.998094,51.192820,0.015435,0.067460
201,101000,0.929198,0.420765,-0.508434,2.000835,0.491915,1.508850,1.508990,0.000000,0.000000,0.000000,0.000000
202,101500,0.942812,0.434694,-0.508117,2.000934,0.492093,1.508900,1.508782,0.000000,0.000000,0.000000,0.000000
203,102000,0.925530,0.417616,-0.507914,2.000849,0.492268,1.508485,1.508677,0.000000,0.000000,0.000000,0.000000
204,102500,0.930987,0.424198,-0.506789,2.000891,0.493210,1.507754,1.507607,0.000000,0.000000,0.000000,0.000000
205,103000,0.921303,0.414150,-0.507152,2.000755,0.492948,1.507996,1.507618,0.998117,50.029937,0.015342,0.067296
206,103500,0.927855,0.420656,-0.507199,2.000600,0.492947,1.507724,1.507583,0.000000,0.000000,0.000000,0.000000
207,104000,0.916958,0.409661,-0.507297,2.001099,0.492934,1.508133,1.508197,0.000000,0.000000,0.000000,0.000000
208,104500,0.934125,0.426899,-0.507227,2.001291,0.493021,1.508159,1.508380,0.000000,0.000000,0.000000,0.000000
209,105000,0.933410,0.424730,-0.508680,2.001780,0.491152,1.510577,1.510679,0.000000,0.000000,0.000000,0.000000
210,105500,0.913042,0.404424,-0.508617,2.001382,0.491627,1.509721,1.509789,0.998120,50.720624,0.015955,0.068518
211,106000,0.938766,0.430102,-0.508664,2.000790,0.491414,1.509377,1.509374,0.000000,0.000000,0.000000,0.000000
